Ref,Qty,Value,Footprint
R70,1,100R 1%,R_0603_1608Metric
"C20, C21, C34, C35, C40, C41, C44, C65, C66, C70, C75, C81, C82",13,100nF 25V X7R,C_0603_1608Metric
OPT1,1,PC817,DIP-4_W7.62mm
"R30, R31, R45, R78, R82",5,10k 1%,R_0603_1608Metric
"R85, R86",2,5.1k,R_0603_1608Metric
LED1,1,STATUS 0805,LED_0805_2012Metric
C43,1,100nF 25V C0G,C_0603_1608Metric
TP_VBAT,1,VBAT_DIV,TestPoint_Pad_D2.0mm
"R71, R77",2,100k 1%,R_0603_1608Metric
"FID1, FID2, FID3",3,Fiducial_1mm_Mask2mm,Fiducial_1mm_Mask2mm
U6,1,SHT31-DIS-B2.5KS,Sensirion_DFN-8-1EP_2.5x2.5mm_P0.5mm_EP1.1x1.7mm
"Q21, Q22, Q23",3,BSS138,SOT-23
U2,1,CP2102N-A02-GQFN24,HVQFN-24-1EP_4x4mm_P0.5mm_EP2.1x2.1mm
R74,1,1k,R_0603_1608Metric
"R80, R81, R87, R88",4,10k,R_0603_1608Metric
"R48, R49",2,120R 1%,R_0603_1608Metric
D10,1,SM712,SOT-23
RSH1,1,FL-2 100A/75mV,Shunt_FL2_100A
"Q1, Q2",2,S8050,SOT-23
F3,1,1A T 250VAC 5x20,Fuseholder_Clip-5x20mm_Littelfuse_111_Inline_P20.00x5.00mm_D1.05mm_Horizontal
TP_EN,1,EN,TestPoint_Pad_D2.0mm
"D22, D23, D24, D25",4,SMAJ5.0A,D_SMA
"FB2, FB50",2,600R@100MHz,L_0805_2012Metric
"JP_CAN_TERM, JP_RS485_TERM",2,TERM 120R,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm
"H1, H2, H3, H4",4,MountingHole_3.2mm_M3,MountingHole_3.2mm_M3
C64,1,4.7uF 16V X5R,C_0603_1608Metric
Q20,1,AO3400A,SOT-23
TP_RS485_A,1,RS485_A,TestPoint_Pad_D2.0mm
"R20a, R20b",2,49.9k 1% 0805,R_0603_1608Metric
U7,1,DS3231SN#,SOIC-16W_7.5x10.3mm_P1.27mm
SW2,1,BOOT,SW_PUSH_6mm
"U4, U5",2,ACS712ELCTR-30A-T,SOIC-8_3.9x4.9mm_P1.27mm
