Ref,Val,Package,PosX,PosY,Rot,Side
"BT1","CR2032 3V","BatteryHolder_Keystone_106_1x20mm",58.800000,-44.600000,180.000000,bottom
"D23","SMAJ5.0A","D_SMA",33.000000,-91.000000,180.000000,bottom
"RV3","MOV 275VAC DNP","RV_Disc_D21.5mm_W5mm_P10mm",124.000000,-96.000000,180.000000,bottom
"C20","100nF 25V X7R","C_0603_1608Metric",81.000000,-41.500000,0.000000,top
"C21","100nF 25V X7R","C_0603_1608Metric",64.000000,-41.500000,0.000000,top
"C30","10nF 50V X7R","C_0603_1608Metric",91.100000,-39.100000,90.000000,top
"C31","10nF 50V X7R","C_0603_1608Metric",79.000000,-63.500000,0.000000,top
"C34","100nF 25V X7R","C_0603_1608Metric",78.500000,-47.300000,0.000000,top
"C35","100nF 25V X7R","C_0603_1608Metric",73.500000,-62.500000,0.000000,top
"C40","100nF 25V X7R","C_0603_1608Metric",78.000000,-31.500000,0.000000,top
"C41","100nF 25V X7R","C_0603_1608Metric",56.800000,-35.500000,90.000000,top
"C42","10uF 16V X5R","C_0603_1608Metric",57.500000,-39.000000,90.000000,top
"C43","100nF 25V C0G","C_0603_1608Metric",57.500000,-42.300000,90.000000,top
"C44","100nF 25V X7R","C_0603_1608Metric",66.500000,-44.000000,0.000000,top
"C50","2.2uF 100V X7R","C_0603_1608Metric",35.000000,-41.000000,90.000000,top
"C52","47uF 25V X5R","C_1210_3225Metric",62.500000,-58.000000,90.000000,top
"C57","47uF 100V","CP_Elec_10x10.5",25.200000,-38.000000,0.000000,top
"C60","10uF 16V X5R","C_0805_2012Metric",62.000000,-50.000000,0.000000,top
"C61","100nF 50V X7R","C_0805_2012Metric",62.000000,-53.000000,0.000000,top
"C62","10uF 16V X5R","C_0805_2012Metric",74.200000,-64.800000,0.000000,top
"C63","100nF 50V X7R","C_0805_2012Metric",79.300000,-70.500000,0.000000,top
"C64","4.7uF 16V X5R","C_0603_1608Metric",78.800000,-79.800000,0.000000,top
"C65","100nF 25V X7R","C_0603_1608Metric",76.500000,-79.500000,90.000000,top
"C66","100nF 25V X7R","C_0603_1608Metric",63.500000,-89.200000,0.000000,top
